rank,company,ticker,cik,public_float_usd,public_float,tier
1,UNIVERSAL DISPLAY CORP \PA\,OLED,1005284,6792425456000,"$6,792.4B",mega
2,ONTO INNOVATION INC.,ONTO,704532,4817275689000,"$4,817.3B",mega
3,TTM TECHNOLOGIES INC,TTMI,1116942,4165937635000,"$4,165.9B",mega
4,"Champion Homes, Inc.",SKY,90896,4135959950000,"$4,136.0B",mega
5,NVIDIA CORP,NVDA,1045810,4000000000000,"$4,000.0B",mega
6,MICROSOFT CORP,MSFT,789019,3600000000000,"$3,600.0B",mega
7,NOVANTA INC,NOVTU,1076930,3496559430000,"$3,496.6B",mega
8,Apple Inc.,AAPL,320193,3253431000000,"$3,253.4B",mega
9,MCGRATH RENTCORP,MGRC,752714,2853953135000,"$2,854.0B",mega
10,"Enova International, Inc.",ENVA,1529864,2669865303000,"$2,669.9B",mega
11,RenX Enterprises Corp.,RENX,1959023,2290409000000,"$2,290.4B",mega
12,AMAZON COM INC,AMZN,1018724,2118061430046,"$2,118.1B",mega
13,"CLEANSPARK, INC.",CLSKW,827876,1967000000000,"$1,967.0B",mega
14,Alphabet Inc.,GOOGN,1652044,1900000000000,"$1,900.0B",mega
15,"Meta Platforms, Inc.",META,1326801,1600000000000,"$1,600.0B",mega
16,CIK 1744659,,1744659,1569636109000,"$1,569.6B",mega
17,TRUSTMARK CORP,TRMK,36146,961600000000,$961.6B,mega
18,HIVE Digital Technologies Ltd.,HIVE,1720424,950740231000,$950.7B,mega
19,Broadcom Inc.,AVGO,1730168,939200000000,$939.2B,mega
20,BERKSHIRE HATHAWAY INC,BRK-A,1067983,902700000000,$902.7B,mega
21,"Tesla, Inc.",TSLA,1318605,892930000000,$892.9B,mega
22,Gentherm Inc,THRM,903129,853967174000,$854.0B,mega
23,"Select Water Solutions, Inc.",WTTR,1693256,837400000000,$837.4B,mega
24,ELI LILLY & Co,LLY,59478,807887000000,$807.9B,mega
25,JPMORGAN CHASE & CO,JPM-PM,19617,794433813496,$794.4B,mega
26,CIK 1853513,,1853513,603562916000,$603.6B,mega
27,VISA INC.,V,1403161,601100000000,$601.1B,mega
28,NETFLIX INC,NFLX,1065280,565657747980,$565.7B,mega
29,Mastercard Inc,MA,1141391,505000000000,$505.0B,mega
30,COSTCO WHOLESALE CORP /NEW,COST,909832,475200000000,$475.2B,mega
31,CIK 34088,,34088,460000000000,$460.0B,mega
32,Repay Holdings Corp,RPAY,1720592,399708338000,$399.7B,mega
33,Walmart Inc.,WMT,104169,391703475732,$391.7B,mega
34,"HOME DEPOT, INC.",HD,354950,371800000000,$371.8B,mega
35,JOHNSON & JOHNSON,JNJ,200406,367000000000,$367.0B,mega
